transaction_id,player_id,transaction_datetime,game_type,payment_method,stake_amount,win_amount,deposit_amount,withdrawal_amount,bonus_amount,transaction_date
T000024,P0002,2026-01-27 14:08:00,Slots,Card,51.57,47.95,0.0,0.0,0.0,2026-01-27
T000025,P0002,2026-01-13 04:24:00,Slots,Bank Transfer,133.51,126.58,0.0,0.0,0.0,2026-01-13
T000026,P0002,2026-02-24 10:18:00,Poker,Card,103.04,91.84,0.0,0.0,0.0,2026-02-24
T000027,P0002,2026-01-23 23:53:00,Slots,E-Wallet,166.84,129.0,50.94,0.0,0.0,2026-01-23
T000028,P0002,2026-02-09 15:37:00,Slots,Bank Transfer,53.3,61.63,0.0,0.0,0.0,2026-02-09
T000029,P0002,2026-01-18 22:14:00,Slots,Bank Transfer,45.79,44.46,0.0,82.63,0.0,2026-01-18
T000030,P0002,2026-01-09 20:44:00,Slots,Card,67.71,48.66,0.0,0.0,39.7,2026-01-09
T000031,P0002,2026-03-07 17:40:00,Sportsbook,Card,143.28,88.43,0.0,0.0,0.0,2026-03-07
T000032,P0002,2026-02-04 00:35:00,Slots,Bank Transfer,96.71,102.25,0.0,0.0,0.0,2026-02-04
T000033,P0002,2026-02-23 18:08:00,Sportsbook,Card,58.67,56.95,0.0,0.0,0.0,2026-02-23
T000034,P0002,2026-02-17 10:38:00,Live Casino,E-Wallet,26.15,21.55,0.0,0.0,0.0,2026-02-17
T000035,P0002,2026-02-09 08:44:00,Live Casino,Crypto,102.8,142.56,0.0,0.0,0.0,2026-02-09
T000036,P0003,2026-02-11 12:35:00,Sportsbook,E-Wallet,6.11,6.33,0.0,0.0,53.83,2026-02-11
T000037,P0003,2026-03-26 22:28:00,Slots,E-Wallet,51.86,37.99,0.0,0.0,0.0,2026-03-26
T000038,P0003,2026-03-11 02:57:00,Slots,Card,22.98,27.8,83.68,0.0,0.0,2026-03-11
T000039,P0003,2026-02-24 02:54:00,Slots,E-Wallet,30.45,30.25,0.0,27.37,0.0,2026-02-24
T000040,P0003,2026-01-07 09:33:00,Slots,E-Wallet,141.37,151.12,19.75,0.0,13.86,2026-01-07
T000041,P0003,2026-03-02 13:50:00,Poker,Card,50.4,52.46,0.0,0.0,0.0,2026-03-02
T000042,P0003,2026-01-09 12:00:00,Sportsbook,Card,46.08,54.05,0.0,0.0,0.0,2026-01-09
T000043,P0003,2026-03-21 05:06:00,Slots,Card,33.88,31.39,0.0,0.0,0.0,2026-03-21
T000044,P0004,2026-03-19 17:14:00,Slots,Card,98.45,71.19,0.0,0.0,53.88,2026-03-19
T000045,P0004,2026-03-02 19:48:00,Slots,Card,34.15,30.21,17.6,0.0,24.84,2026-03-02
T000046,P0004,2026-01-02 16:36:00,Live Casino,Bank Transfer,5.0,2.43,68.79,0.0,0.0,2026-01-02
T000047,P0004,2026-01-02 03:20:00,Live Casino,E-Wallet,63.62,49.36,76.99,0.0,0.0,2026-01-02
T000048,P0004,2026-02-11 01:08:00,Sportsbook,Bank Transfer,54.29,53.68,0.0,0.0,0.0,2026-02-11
T000049,P0004,2026-01-04 03:17:00,Slots,E-Wallet,39.18,29.87,0.0,0.0,0.0,2026-01-04
T000050,P0004,2026-03-29 23:48:00,Slots,E-Wallet,15.56,17.35,0.0,37.47,0.0,2026-03-29
T000051,P0004,2026-03-08 06:55:00,Slots,Bank Transfer,57.34,62.75,0.0,0.0,0.0,2026-03-08
T000052,P0004,2026-02-16 11:41:00,Slots,E-Wallet,22.93,17.61,0.0,43.77,0.0,2026-02-16
T000053,P0004,2026-01-30 21:10:00,Table Games,Bank Transfer,7.51,6.36,0.0,0.0,44.16,2026-01-30
T000054,P0005,2026-01-19 11:33:00,Table Games,Card,36.37,25.57,0.0,0.0,0.0,2026-01-19
T000055,P0005,2026-03-02 21:39:00,Slots,Card,49.63,45.18,0.0,0.0,0.0,2026-03-02
T000056,P0005,2026-03-20 01:45:00,Poker,E-Wallet,164.29,98.9,106.68,0.0,0.0,2026-03-20
T000057,P0005,2026-02-27 05:18:00,Slots,Card,40.14,39.5,37.11,0.0,0.0,2026-02-27
T000058,P0005,2026-03-21 22:37:00,Slots,E-Wallet,16.78,16.74,59.86,66.99,0.0,2026-03-21
T000059,P0005,2026-01-06 06:09:00,Slots,Bank Transfer,33.11,26.47,0.0,0.0,0.0,2026-01-06
T000060,P0005,2026-02-10 14:26:00,Live Casino,Card,26.38,9.88,0.0,0.0,25.62,2026-02-10
T000061,P0006,2026-03-29 07:45:00,Slots,Card,18.48,16.1,67.77,0.0,42.08,2026-03-29
T000062,P0006,2026-01-21 17:54:00,Slots,Card,24.46,26.97,0.0,0.0,0.0,2026-01-21
T000063,P0006,2026-01-29 03:17:00,Sportsbook,Bank Transfer,16.69,7.73,0.0,36.55,0.0,2026-01-29
T000064,P0006,2026-02-15 16:17:00,Table Games,Card,31.97,33.93,0.0,0.0,0.0,2026-02-15
T000065,P0006,2026-02-18 22:25:00,Slots,E-Wallet,33.37,32.95,0.0,48.54,0.0,2026-02-18
T000066,P0006,2026-02-27 07:28:00,Sportsbook,Bank Transfer,115.41,103.57,0.0,16.22,31.57,2026-02-27
T000067,P0007,2026-03-14 22:14:00,Slots,Card,40.64,36.89,0.0,0.0,0.0,2026-03-14
T000068,P0007,2026-03-24 01:43:00,Sportsbook,Card,50.55,32.7,0.0,0.0,0.0,2026-03-24
T000069,P0007,2026-03-12 15:18:00,Slots,E-Wallet,31.75,27.29,17.26,0.0,0.0,2026-03-12
T000070,P0007,2026-03-11 16:25:00,Slots,Card,65.55,66.6,0.0,0.0,0.0,2026-03-11
T000071,P0007,2026-02-03 08:09:00,Live Casino,Card,27.35,39.02,0.0,0.0,0.0,2026-02-03
T000072,P0007,2026-03-27 03:17:00,Live Casino,E-Wallet,71.34,42.78,0.0,0.0,0.0,2026-03-27
T000073,P0007,2026-03-14 01:07:00,Slots,Card,39.52,41.39,0.0,0.0,0.0,2026-03-14
T000074,P0007,2026-02-23 17:20:00,Table Games,Card,5.81,4.09,0.0,0.0,0.0,2026-02-23
T000075,P0007,2026-03-15 22:57:00,Slots,Bank Transfer,25.12,18.23,0.0,0.0,0.0,2026-03-15
T000076,P0007,2026-01-18 23:27:00,Slots,E-Wallet,18.45,12.12,0.0,15.2,46.71,2026-01-18
T000077,P0007,2026-01-31 06:39:00,Poker,Card,34.41,42.27,0.0,0.0,0.0,2026-01-31
T000078,P0008,2026-03-28 19:48:00,Poker,Crypto,6.38,7.86,0.0,0.0,0.0,2026-03-28
T000079,P0008,2026-01-19 22:58:00,Slots,Card,53.37,41.95,0.0,0.0,0.0,2026-01-19
T000080,P0008,2026-01-13 18:28:00,Slots,Bank Transfer,36.18,34.39,0.0,0.0,24.7,2026-01-13
T000081,P0009,2026-01-23 07:59:00,Table Games,Card,130.17,132.11,0.0,0.0,0.0,2026-01-23
T000082,P0009,2026-01-07 07:27:00,Live Casino,Card,22.99,19.41,0.0,0.0,21.31,2026-01-07
T000083,P0009,2026-02-09 12:22:00,Poker,Card,61.64,60.17,13.58,0.0,0.0,2026-02-09
T000084,P0009,2026-02-23 23:34:00,Slots,Crypto,22.19,21.86,0.0,0.0,0.0,2026-02-23
T000085,P0009,2026-02-02 06:55:00,Sportsbook,E-Wallet,25.13,16.45,0.0,0.0,21.94,2026-02-02
T000086,P0009,2026-03-28 11:33:00,Table Games,Card,27.94,20.43,0.0,0.0,0.0,2026-03-28
T000087,P0009,2026-02-14 17:14:00,Slots,E-Wallet,18.38,12.02,0.0,0.0,0.0,2026-02-14
T000088,P0009,2026-03-29 02:45:00,Table Games,Card,131.08,144.19,0.0,0.0,0.0,2026-03-29
T000089,P0009,2026-01-02 16:23:00,Slots,E-Wallet,129.57,144.95,0.0,0.0,0.0,2026-01-02
T000090,P0009,2026-03-18 14:26:00,Sportsbook,Bank Transfer,48.29,40.15,0.0,0.0,0.0,2026-03-18
T000091,P0009,2026-01-31 22:53:00,Sportsbook,Card,47.11,53.07,0.0,0.0,19.89,2026-01-31
T000092,P0009,2026-02-21 18:44:00,Slots,Card,43.4,36.04,7.85,0.0,0.0,2026-02-21
T000093,P0009,2026-03-01 18:20:00,Slots,E-Wallet,31.54,22.41,0.0,0.0,44.18,2026-03-01
T000094,P0009,2026-02-02 12:13:00,Sportsbook,Bank Transfer,48.91,40.28,0.0,97.67,32.37,2026-02-02
T000095,P0009,2026-01-25 04:55:00,Sportsbook,Card,74.33,42.99,0.0,0.0,8.72,2026-01-25
T000096,P0009,2026-02-13 12:33:00,Slots,Crypto,79.57,67.82,0.0,0.0,0.0,2026-02-13
T000097,P0010,2026-02-20 23:13:00,Slots,Card,29.94,15.93,0.0,0.0,0.0,2026-02-20
T000098,P0010,2026-03-26 16:44:00,Sportsbook,Card,46.12,41.03,0.0,0.0,0.0,2026-03-26
T000099,P0010,2026-01-18 05:58:00,Slots,E-Wallet,51.84,29.56,0.0,0.0,0.0,2026-01-18
T000100,P0010,2026-01-20 05:54:00,Slots,Card,17.13,9.44,0.0,0.0,0.0,2026-01-20
T000101,P0010,2026-01-12 06:17:00,Live Casino,Bank Transfer,69.14,69.85,38.36,74.87,0.0,2026-01-12
T000102,P0010,2026-02-20 01:43:00,Live Casino,E-Wallet,14.71,8.03,0.0,0.0,40.77,2026-02-20
T000103,P0010,2026-02-21 05:18:00,Slots,E-Wallet,27.22,16.94,0.0,0.0,0.0,2026-02-21
T000104,P0010,2026-02-09 15:53:00,Slots,Card,13.09,10.6,0.0,0.0,0.0,2026-02-09
T000105,P0010,2026-03-07 19:27:00,Live Casino,E-Wallet,16.07,12.04,0.0,0.0,0.0,2026-03-07
T000106,P0010,2026-02-08 12:40:00,Slots,Bank Transfer,57.0,42.39,0.0,0.0,18.04,2026-02-08
T000107,P0010,2026-03-31 10:06:00,Slots,Bank Transfer,19.71,11.52,0.0,0.0,0.0,2026-03-31
T000108,P0011,2026-01-12 06:38:00,Poker,E-Wallet,19.71,18.33,0.0,0.0,0.0,2026-01-12
T000109,P0012,2026-02-06 16:51:00,Slots,E-Wallet,36.45,40.49,0.0,0.0,0.0,2026-02-06
T000110,P0012,2026-02-13 17:22:00,Slots,Card,5.0,5.35,0.0,0.0,10.62,2026-02-13
T000111,P0012,2026-01-27 06:41:00,Table Games,Card,60.12,59.03,0.0,0.0,0.0,2026-01-27
T000112,P0012,2026-02-20 06:03:00,Sportsbook,E-Wallet,8.9,8.08,0.0,0.0,0.0,2026-02-20
T000113,P0012,2026-01-28 06:00:00,Table Games,Card,28.66,32.04,0.0,0.0,26.34,2026-01-28
T000114,P0012,2026-03-01 05:30:00,Sportsbook,Card,32.75,9.35,0.0,0.0,0.0,2026-03-01
T000115,P0012,2026-01-26 07:04:00,Slots,E-Wallet,50.26,44.6,0.0,71.57,0.0,2026-01-26
T000116,P0012,2026-02-27 05:45:00,Poker,Card,148.45,110.87,0.0,0.0,41.04,2026-02-27
T000117,P0012,2026-01-08 13:30:00,Sportsbook,Bank Transfer,134.86,134.89,64.49,0.0,0.0,2026-01-08
T000118,P0012,2026-03-21 05:27:00,Slots,Card,44.57,44.6,0.0,0.0,0.0,2026-03-21
T000119,P0012,2026-01-27 13:01:00,Live Casino,E-Wallet,79.24,49.75,67.47,0.0,0.0,2026-01-27
T000120,P0012,2026-03-07 17:22:00,Table Games,E-Wallet,72.44,63.68,34.93,0.0,0.0,2026-03-07
T000121,P0012,2026-02-24 10:23:00,Slots,Bank Transfer,44.34,37.37,0.0,0.0,0.0,2026-02-24
T000122,P0013,2026-02-23 14:15:00,Sportsbook,Card,226.34,181.15,0.0,0.0,0.0,2026-02-23
T000123,P0013,2026-02-17 14:01:00,Table Games,Card,400.48,410.38,0.0,0.0,0.0,2026-02-17
T000124,P0013,2026-01-30 21:35:00,Slots,Card,221.45,215.23,19.68,0.0,0.0,2026-01-30
T000125,P0013,2026-02-22 17:49:00,Slots,Card,295.51,203.03,0.0,0.0,0.0,2026-02-22
T000126,P0013,2026-02-18 04:01:00,Live Casino,E-Wallet,127.22,134.18,54.12,0.0,0.0,2026-02-18
T000127,P0013,2026-01-12 02:04:00,Live Casino,Crypto,239.07,217.33,0.0,0.0,18.4,2026-01-12
T000128,P0013,2026-02-26 17:13:00,Slots,Card,216.53,238.02,0.0,65.19,45.27,2026-02-26
T000129,P0013,2026-03-18 03:54:00,Live Casino,Crypto,247.36,296.7,50.09,0.0,0.0,2026-03-18
T000130,P0013,2026-03-08 17:11:00,Live Casino,Card,186.18,153.98,0.0,0.0,0.0,2026-03-08
T000131,P0013,2026-02-13 02:54:00,Slots,Card,277.62,218.47,0.0,0.0,35.56,2026-02-13
T000132,P0013,2026-02-25 10:24:00,Live Casino,Bank Transfer,326.13,165.52,77.69,0.0,0.0,2026-02-25
T000133,P0013,2026-03-01 16:41:00,Table Games,E-Wallet,268.94,224.51,0.0,10.28,0.0,2026-03-01
T000134,P0013,2026-01-30 07:33:00,Slots,Crypto,340.38,373.25,0.0,0.0,6.0,2026-01-30
T000135,P0013,2026-01-26 18:49:00,Slots,Card,181.92,187.54,0.0,0.0,0.0,2026-01-26
T000136,P0013,2026-03-10 16:25:00,Sportsbook,E-Wallet,170.7,145.96,0.0,44.52,0.0,2026-03-10
T000137,P0013,2026-02-07 01:48:00,Table Games,E-Wallet,293.64,360.51,0.0,59.51,0.0,2026-02-07
T000138,P0013,2026-03-19 21:53:00,Poker,Bank Transfer,317.56,430.0,0.0,16.41,0.0,2026-03-19
T000139,P0013,2026-03-20 19:01:00,Table Games,Crypto,556.46,453.6,23.79,0.0,0.0,2026-03-20
T000140,P0013,2026-01-19 02:17:00,Poker,Card,114.96,119.67,0.0,0.0,0.0,2026-01-19
T000141,P0013,2026-03-23 11:12:00,Sportsbook,Card,106.47,100.02,93.59,0.0,0.0,2026-03-23
T000142,P0013,2026-02-18 18:01:00,Slots,Crypto,199.81,227.69,82.2,0.0,0.0,2026-02-18
T000143,P0013,2026-02-07 22:20:00,Table Games,Card,215.63,217.66,0.0,0.0,0.0,2026-02-07
T000144,P0013,2026-02-09 19:02:00,Table Games,E-Wallet,298.81,226.46,0.0,0.0,12.5,2026-02-09
T000145,P0013,2026-03-29 00:38:00,Sportsbook,Card,320.27,106.25,0.0,135.33,0.0,2026-03-29
T000146,P0013,2026-02-01 05:40:00,Slots,Bank Transfer,244.63,187.79,0.0,0.0,0.0,2026-02-01
T000147,P0013,2026-01-03 20:19:00,Sportsbook,Bank Transfer,233.01,132.46,0.0,77.81,9.54,2026-01-03
T000148,P0013,2026-03-29 15:46:00,Sportsbook,Card,201.58,174.88,0.0,0.0,18.71,2026-03-29
T000149,P0013,2026-03-21 08:09:00,Table Games,Card,259.76,287.06,0.0,0.0,0.0,2026-03-21
T000150,P0013,2026-01-23 20:13:00,Sportsbook,Card,216.6,206.44,0.0,0.0,0.0,2026-01-23
T000151,P0014,2026-01-16 16:15:00,Live Casino,E-Wallet,5.0,4.14,0.0,0.0,0.0,2026-01-16
T000152,P0014,2026-02-01 08:05:00,Sportsbook,E-Wallet,18.95,13.93,0.0,0.0,42.1,2026-02-01
T000153,P0014,2026-03-20 12:25:00,Table Games,E-Wallet,41.91,32.71,22.93,0.0,11.18,2026-03-20
T000154,P0014,2026-03-04 21:26:00,Slots,E-Wallet,12.24,8.82,0.0,0.0,0.0,2026-03-04
T000155,P0014,2026-03-27 18:29:00,Slots,Card,30.57,25.24,0.0,0.0,0.0,2026-03-27
T000156,P0014,2026-01-26 11:01:00,Sportsbook,Bank Transfer,14.53,20.75,0.0,0.0,42.83,2026-01-26
T000157,P0014,2026-02-19 13:53:00,Slots,Crypto,43.79,40.18,0.0,0.0,0.0,2026-02-19
T000158,P0014,2026-01-15 18:47:00,Table Games,Card,97.42,71.01,0.0,0.0,0.0,2026-01-15
T000159,P0014,2026-02-04 04:20:00,Slots,Card,7.27,8.4,0.0,0.0,20.94,2026-02-04
T000160,P0014,2026-01-23 16:31:00,Slots,Crypto,15.73,15.57,0.0,0.0,0.0,2026-01-23
T000161,P0014,2026-03-16 21:53:00,Slots,E-Wallet,13.93,13.92,51.47,0.0,0.0,2026-03-16
T000162,P0014,2026-03-23 13:17:00,Live Casino,E-Wallet,59.72,38.55,0.0,0.0,0.0,2026-03-23
T000163,P0014,2026-03-13 06:46:00,Slots,E-Wallet,53.3,44.83,0.0,31.27,0.0,2026-03-13
T000164,P0014,2026-03-10 02:43:00,Slots,Card,17.2,19.65,0.0,0.0,0.0,2026-03-10
T000165,P0015,2026-02-27 08:47:00,Slots,Card,107.67,79.06,5.72,44.02,99.96,2026-02-27
T000166,P0015,2026-03-23 10:47:00,Sportsbook,Crypto,139.26,68.23,0.0,0.0,32.47,2026-03-23
T000167,P0015,2026-02-24 07:36:00,Sportsbook,Bank Transfer,108.79,71.54,2.55,0.0,101.93,2026-02-24
T000168,P0015,2026-01-09 23:22:00,Slots,Crypto,101.21,87.81,23.34,0.0,95.66,2026-01-09
T000169,P0015,2026-02-07 07:53:00,Sportsbook,Card,192.42,159.63,9.44,0.0,105.24,2026-02-07
T000170,P0015,2026-03-10 09:05:00,Sportsbook,Bank Transfer,172.14,134.93,7.29,55.23,98.59,2026-03-10
T000171,P0015,2026-02-25 07:00:00,Slots,Bank Transfer,52.7,57.9,0.0,52.34,0.0,2026-02-25
T000172,P0015,2026-03-05 06:11:00,Slots,Card,84.24,61.27,0.0,0.0,0.0,2026-03-05
T000173,P0015,2026-01-28 14:30:00,Sportsbook,Card,66.15,63.11,0.0,0.0,0.0,2026-01-28
T000174,P0015,2026-01-31 04:47:00,Slots,Card,135.37,130.74,0.0,0.0,0.0,2026-01-31
T000175,P0015,2026-03-27 07:16:00,Live Casino,Bank Transfer,134.54,176.36,23.89,0.0,103.6,2026-03-27
T000176,P0015,2026-01-20 15:16:00,Live Casino,Bank Transfer,26.55,13.6,9.33,0.0,50.7,2026-01-20
T000177,P0015,2026-02-17 11:31:00,Table Games,E-Wallet,63.5,55.59,60.26,0.0,0.0,2026-02-17
T000178,P0016,2026-03-31 19:21:00,Live Casino,Card,149.84,131.28,0.0,0.0,0.0,2026-03-31
T000179,P0016,2026-03-21 21:45:00,Live Casino,Card,126.4,127.15,0.0,0.0,0.0,2026-03-21
T000180,P0016,2026-02-23 11:33:00,Slots,Card,229.06,213.66,0.0,0.0,0.0,2026-02-23
T000181,P0016,2026-01-30 16:58:00,Slots,E-Wallet,202.21,186.49,0.0,0.0,0.0,2026-01-30
T000182,P0016,2026-01-10 10:37:00,Live Casino,Bank Transfer,400.37,417.47,0.0,0.0,0.0,2026-01-10
T000183,P0016,2026-03-08 17:52:00,Sportsbook,Card,224.72,119.46,0.0,0.0,0.0,2026-03-08
T000184,P0016,2026-02-24 00:48:00,Poker,Card,75.27,55.47,73.78,41.08,0.0,2026-02-24
T000185,P0016,2026-02-08 23:15:00,Table Games,Card,240.33,230.82,0.0,0.0,0.0,2026-02-08
T000186,P0016,2026-02-03 06:03:00,Slots,E-Wallet,359.69,300.94,0.0,0.0,0.0,2026-02-03
T000187,P0016,2026-03-02 06:56:00,Slots,E-Wallet,217.89,218.6,0.0,0.0,0.0,2026-03-02
T000188,P0016,2026-01-25 00:00:00,Sportsbook,Card,174.74,56.15,0.0,64.18,42.75,2026-01-25
T000189,P0016,2026-01-26 20:16:00,Slots,Card,356.77,260.75,0.0,0.0,0.0,2026-01-26
T000190,P0016,2026-03-30 22:38:00,Slots,Card,284.79,312.49,0.0,0.0,0.0,2026-03-30
T000191,P0016,2026-03-15 17:21:00,Slots,Bank Transfer,72.29,58.09,0.0,0.0,0.0,2026-03-15
T000192,P0016,2026-03-04 16:29:00,Slots,E-Wallet,215.84,95.83,0.0,0.0,0.0,2026-03-04
T000193,P0016,2026-03-17 10:54:00,Table Games,E-Wallet,547.41,380.04,0.0,0.0,0.0,2026-03-17
T000194,P0016,2026-02-17 05:05:00,Sportsbook,Bank Transfer,309.11,223.08,0.0,0.0,0.0,2026-02-17
T000195,P0016,2026-01-11 03:51:00,Sportsbook,E-Wallet,582.43,735.91,0.0,0.0,0.0,2026-01-11
T000196,P0016,2026-02-25 10:14:00,Slots,E-Wallet,143.4,154.74,0.0,0.0,0.0,2026-02-25
T000197,P0016,2026-01-02 07:19:00,Slots,Card,149.26,92.11,0.0,0.0,0.0,2026-01-02
T000198,P0016,2026-03-29 03:11:00,Live Casino,Card,539.5,604.38,0.0,23.2,0.0,2026-03-29
T000199,P0016,2026-01-24 12:23:00,Table Games,Card,299.89,239.8,226.36,0.0,0.0,2026-01-24
T000200,P0016,2026-01-03 19:09:00,Live Casino,Card,465.86,438.35,0.0,0.0,0.0,2026-01-03
T000201,P0016,2026-01-02 16:29:00,Slots,Card,417.83,358.36,0.0,0.0,0.0,2026-01-02
T000202,P0016,2026-02-09 12:03:00,Sportsbook,Card,184.16,176.6,0.0,0.0,0.0,2026-02-09
T000203,P0016,2026-02-06 06:18:00,Live Casino,Card,150.44,169.78,0.0,41.31,0.0,2026-02-06
T000204,P0016,2026-01-04 04:03:00,Live Casino,Card,213.24,233.22,0.0,0.0,0.0,2026-01-04
T000205,P0016,2026-01-10 00:41:00,Live Casino,Card,286.81,142.17,58.97,0.0,0.0,2026-01-10
T000206,P0016,2026-02-20 05:36:00,Slots,E-Wallet,390.94,410.0,62.14,0.0,0.0,2026-02-20
T000207,P0016,2026-02-11 04:28:00,Slots,Bank Transfer,348.0,183.03,0.0,0.0,0.0,2026-02-11
T000208,P0016,2026-03-28 08:33:00,Table Games,E-Wallet,404.18,373.26,0.0,0.0,0.0,2026-03-28
T000209,P0016,2026-01-28 22:47:00,Slots,Card,249.34,252.68,0.0,0.0,0.0,2026-01-28
T000210,P0016,2026-01-08 20:12:00,Slots,E-Wallet,60.91,54.68,0.0,0.0,0.0,2026-01-08
T000211,P0016,2026-01-09 21:22:00,Table Games,Crypto,324.51,344.21,21.15,0.0,0.0,2026-01-09
T000212,P0016,2026-01-15 20:43:00,Table Games,E-Wallet,234.82,276.44,0.0,0.0,0.0,2026-01-15
T000213,P0016,2026-02-26 17:09:00,Live Casino,Bank Transfer,97.85,75.43,0.0,0.0,0.0,2026-02-26
T000214,P0016,2026-01-17 18:50:00,Slots,Card,342.91,296.58,0.0,38.46,0.0,2026-01-17
T000215,P0016,2026-03-07 01:15:00,Slots,Card,149.52,169.12,0.0,0.0,0.0,2026-03-07
T000216,P0016,2026-02-23 07:57:00,Slots,E-Wallet,165.08,133.28,19.03,0.0,0.0,2026-02-23
T000217,P0016,2026-01-18 19:46:00,Live Casino,Bank Transfer,244.93,291.46,0.0,0.0,0.0,2026-01-18
T000218,P0016,2026-01-03 02:43:00,Slots,Card,279.44,271.48,0.0,0.0,0.0,2026-01-03
T000219,P0017,2026-01-27 11:39:00,Slots,E-Wallet,44.65,38.41,0.0,0.0,0.0,2026-01-27
T000220,P0017,2026-01-04 11:08:00,Live Casino,Bank Transfer,28.32,23.19,48.35,0.0,0.0,2026-01-04
T000221,P0017,2026-03-27 12:57:00,Sportsbook,Bank Transfer,73.02,54.1,0.0,0.0,0.0,2026-03-27
T000222,P0017,2026-02-16 15:15:00,Live Casino,Bank Transfer,40.68,35.62,0.0,0.0,0.0,2026-02-16
T000223,P0017,2026-03-04 10:48:00,Sportsbook,Card,51.4,61.26,0.0,0.0,0.0,2026-03-04
T000224,P0017,2026-02-15 23:56:00,Sportsbook,Card,16.36,16.27,55.53,0.0,0.0,2026-02-15
T000225,P0017,2026-03-28 04:54:00,Slots,E-Wallet,13.59,13.36,0.0,0.0,49.81,2026-03-28
T000226,P0017,2026-03-23 02:09:00,Slots,Bank Transfer,66.11,67.47,5.39,0.0,0.0,2026-03-23
T000227,P0018,2026-02-21 16:37:00,Live Casino,Card,41.09,43.15,79.06,94.84,0.0,2026-02-21
T000228,P0018,2026-03-16 11:17:00,Poker,Card,20.39,20.83,0.0,74.4,27.38,2026-03-16
T000229,P0018,2026-03-10 04:40:00,Poker,Bank Transfer,49.09,45.47,0.0,0.0,0.0,2026-03-10
T000230,P0018,2026-01-16 14:25:00,Slots,Card,23.4,18.72,0.0,0.0,0.0,2026-01-16
T000231,P0018,2026-03-28 16:07:00,Sportsbook,Bank Transfer,29.5,38.79,0.0,0.0,0.0,2026-03-28
T000232,P0018,2026-02-01 19:14:00,Sportsbook,Card,61.75,90.51,0.0,36.46,0.0,2026-02-01
T000233,P0018,2026-02-13 09:36:00,Table Games,Card,34.5,19.4,77.27,0.0,0.0,2026-02-13
T000234,P0019,2026-03-04 12:39:00,Sportsbook,E-Wallet,18.62,11.28,0.0,0.0,0.0,2026-03-04
T000235,P0019,2026-03-11 06:22:00,Sportsbook,E-Wallet,8.99,10.05,28.19,0.0,0.0,2026-03-11
T000236,P0019,2026-01-06 12:20:00,Sportsbook,E-Wallet,55.66,38.97,0.0,0.0,0.0,2026-01-06
T000237,P0019,2026-03-25 01:37:00,Slots,Bank Transfer,63.72,56.48,0.0,0.0,0.0,2026-03-25
